file,kmeans_cluster,gmm_cluster,hdbscan_cluster,embedding_file
graphstate_indep_none_12_s32.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s33.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s34.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s35.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s36.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s37.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s38.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s39.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s4.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s40.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s41.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s42.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s43.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s44.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s45.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s46.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s47.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s48.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s49.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s5.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s6.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s7.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s8.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_12_s9.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s2.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s3.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s4.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s5.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s6.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s7.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s8.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_13_s9.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s10.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s11.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s12.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s13.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s14.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s15.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s16.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s17.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s18.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s19.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s2.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s20.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s21.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s22.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s23.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s24.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s25.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s26.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s27.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s28.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s29.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s3.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s30.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s31.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s32.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s33.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s34.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s35.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s36.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s37.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s38.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s39.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s4.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s40.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s41.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s42.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s43.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s44.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s45.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s46.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s47.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s48.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s49.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s5.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s6.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s7.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s8.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_14_s9.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s10.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s11.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s12.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s13.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s2.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s3.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s4.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s5.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s6.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s7.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s8.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_15_s9.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_3_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_4_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_5_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_6_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_6_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_7_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_7_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_8_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_8_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_8_s2.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_8_s3.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_8_s4.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_8_s5.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_9_s0.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_9_s1.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_9_s2.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
graphstate_indep_none_9_s3.qasm,9,1,0,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s0.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s1.qasm,5,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s10.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s11.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s12.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s13.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s14.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s15.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s16.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s17.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s18.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s19.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s2.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s20.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s21.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s22.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s23.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s24.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s25.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s26.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s27.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s28.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s29.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s3.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s30.qasm,5,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s31.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s32.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s33.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s34.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s35.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s36.qasm,5,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s37.qasm,5,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s38.qasm,5,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s39.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s4.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s40.qasm,5,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s41.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s42.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s43.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s44.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s45.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s46.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s47.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s48.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s49.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s5.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s6.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s7.qasm,1,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s8.qasm,5,0,12,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_10_s9.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s0.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s1.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s10.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s11.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s12.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s13.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s14.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s15.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s16.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s17.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s18.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s19.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s2.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s20.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s21.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s22.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s23.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s24.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s25.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s26.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s27.qasm,1,0,-1,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s28.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s29.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s3.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s30.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s31.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s32.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s33.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s34.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s35.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s36.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s37.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s38.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s39.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s4.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s40.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s41.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s42.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s43.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s44.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
qaoa_indep_none_11_s45.qasm,1,0,9,gcn_aug_dropout_and_norm_with_improved_edges_training.csv
